timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1541874450024649,0,0,-2,-11,-3,0,-1,-2
1541874450024649,1,1,0,3,0,0,-1,0
1541874450024649,0,2,2,-1,-1,-1,1,2
1541874450024649,-2,0,2,1,-2,0,0,0
1541874450046667,-2,-3,-4,-20,-1,0,0,-1
1541874450046667,-1,-2,-3,10,2,-2,-1,0
1541874450047668,-1,0,-2,-3,0,1,2,0
1541874450047668,0,-1,-1,6,2,0,-2,-3
1541874450069684,-2,0,2,-2,0,-1,-2,0
1541874450069684,-2,-3,-3,2,0,0,1,-1
1541874450070667,-2,-2,0,-7,0,0,-1,-2
1541874450070667,-2,-2,-2,0,-3,-1,-2,0
1541874450092738,-2,-2,0,6,1,0,1,1
1541874450092738,-1,0,1,-1,-1,-1,1,-2
1541874450106695,-1,0,-1,8,1,-1,-3,0
1541874450106695,-4,-3,-1,-5,-1,1,1,-4
1541874450114715,-6,-6,-3,3,-1,-4,-4,6
1541874450114715,-2,-2,-1,-4,-1,-2,-5,-9
1541874450115716,6,4,2,-3,1,1,7,11
1541874450115716,-3,-3,-7,-8,-6,-4,-7,6
1541874450123722,-2,-2,-3,1,-4,-5,-5,-19
1541874450123722,-4,-4,0,-6,-5,-3,-5,-4
1541874450123722,-4,-2,3,2,4,1,-4,-15
1541874450123722,-8,-4,1,0,-1,-4,-4,-19
1541874450167746,16,13,6,10,2,6,11,6
1541874450167746,-12,-7,-4,-8,-3,-7,-8,-10
1541874450191778,5,-4,-1,1,-3,-3,1,3
1541874450191778,7,9,4,1,6,2,4,-20
1541874450198825,-6,-4,-2,0,0,-2,-5,-5
1541874450198825,14,12,6,3,5,5,15,29
1541874450199807,-12,-7,-2,-1,-3,-3,-5,-16
1541874450199807,4,0,0,2,-2,-4,-5,3
1541874450200789,4,2,0,-1,-1,-1,0,-1
1541874450200789,3,-1,-2,1,-3,-3,-3,-2
1541874450250862,-3,-4,-4,-1,-1,2,0,-2
1541874450250862,11,4,2,1,3,5,12,94
1541874450251824,-5,-1,0,3,-3,1,3,2
1541874450251824,8,4,2,1,2,5,4,-76
1541874450252809,-2,-1,-4,1,0,1,-3,1
1541874450252809,-5,-3,-1,-2,0,1,2,0
1541874450273880,-5,-3,-2,-1,-3,1,-3,-3
1541874450273880,-3,-2,-3,-1,-1,2,-1,20
1541874450274864,-1,2,-2,-3,-2,0,0,-1
1541874450274864,-2,-1,-2,-2,0,-1,0,-24
1541874450275847,-4,-3,-1,1,0,-2,0,1
1541874450275847,-4,-3,-1,0,1,1,1,21
1541874450325922,3,5,4,2,4,4,4,-6
1541874450325922,-2,0,4,0,-1,0,1,-11
1541874450327868,0,-1,0,-2,-3,-1,0,2
1541874450327868,1,0,1,0,-2,-2,-2,2
1541874450328884,0,-1,-1,-2,-5,-5,-4,8
1541874450328884,2,2,6,-1,-5,-4,-4,-15
1541874450349888,4,0,-1,-1,-2,-2,-4,1
1541874450349888,-2,-2,1,-3,-3,-2,-3,9
1541874450350941,1,-1,0,1,-2,0,-1,0
1541874450350941,1,-1,-2,-1,3,2,0,-2
1541874450363951,3,3,4,2,-2,-3,-1,0
1541874450363951,1,-1,-1,-2,-5,-3,-3,-5
1541874450364952,4,0,0,0,-3,-5,-4,-2
1541874450364952,-1,-1,2,1,-3,-1,-3,-2
1541874450365914,4,1,-2,-2,-1,0,-1,0
1541874450365914,-1,0,-2,-4,-1,-1,-2,1
1541874450376927,-1,-1,-3,-4,-1,2,0,0
1541874450376927,-4,-2,-1,2,1,2,1,-1
1541874450401946,-3,-4,-4,0,0,0,1,3
1541874450401946,-9,-3,-5,-6,-1,0,-1,2
1541874450401946,-5,-4,-5,-2,1,2,3,6
1541874450401946,-4,-2,-4,-2,-1,-1,0,0
1541874450406949,5,1,-1,3,-3,0,2,10
1541874450406949,2,-1,0,1,2,1,2,35
1541874450407941,-4,-5,-2,1,1,0,-2,16
1541874450407941,4,1,2,1,-1,1,5,-23
1541874450421962,-19,-5,0,-2,-3,-4,-6,18
1541874450421962,1,7,0,0,2,2,-3,-30
1541874450422963,0,-6,-3,-3,-3,0,-4,-36
1541874450422963,16,2,0,0,-1,-1,6,125
1541874450443979,8,-5,-4,-5,-2,0,-1,41
1541874450443979,-49,-15,-1,-2,-3,-6,-23,-93
1541874450444959,-16,-2,1,1,0,-1,3,-23
1541874450444959,25,5,0,3,1,1,2,7
1541874450466980,11,6,2,-3,-2,0,9,54
1541874450466980,-20,-3,-3,-4,-2,-5,-5,-25
1541874450467994,7,1,-1,-3,-2,-3,3,68
1541874450467994,-36,-3,0,-1,-4,-4,-22,-109
1541874450490051,9,5,1,2,2,-4,2,91
1541874450490051,45,1,-5,-3,0,5,28,85
1541874450491032,-26,-10,-5,-8,-6,-5,-13,-39
1541874450491032,-33,-11,-2,-3,-5,-8,-25,-58
1541874450512068,-14,4,3,-1,2,1,-11,-124
1541874450512068,8,4,2,3,1,-1,1,45
1541874450513030,28,5,-1,0,1,5,15,54
1541874450513030,18,2,-2,-4,0,2,13,107
1541874450528041,-13,-1,0,3,-3,-3,-8,-24
1541874450528041,7,1,0,1,-2,-1,5,-7
1541874450528041,11,3,-1,-4,1,0,0,49
1541874450528041,-6,-1,0,-2,-2,-3,-5,-79
1541874450542091,-8,-1,-2,1,3,0,-2,-60
1541874450542091,28,8,1,1,-1,4,8,65
1541874450543072,-15,-5,-4,-6,-5,-4,-11,-16
1541874450543072,-8,0,4,4,5,0,3,11
1541874450564108,6,-1,-2,-3,-2,-1,6,23
1541874450564108,-7,0,-1,-2,-2,-2,-5,-4
