timestamp,x,y,z
1541872975747460,0.25,-11.3125,-5.5
1541872975773481,-0.625,-16.0625,-7.3125
1541872975786473,2,-16.8125,-6.5625
1541872975824558,2.4375,-13.5625,-4.875
1541872975826507,7.75,-12.875,-2.625
1541872975847524,10.9375,-15.875,-0.875
1541872975867562,10.25,-14,0.6875
1541872975899584,8.6875,-8.5,1.6875
1541872975901568,4.8125,-3.875,1.5
1541872975926607,2.6875,-2.125,2.5625
1541872975953622,-0.75,-3.125,3.125
1541872975967622,-1.5,-2.9375,2.5625
1541872975981645,-7.875,-3.9375,2.1875
1541872976004672,-12.125,-4.9375,1.1875
1541872976042705,-13,-6.75,0.625
1541872976054749,-13.875,-11.1875,1
1541872976063712,-13.375,-19.625,2.8125
1541872976078733,-6.75,-28.625,4.8125
1541872976102753,-3.4375,-33.375,7.3125
1541872976123751,-1.8125,-35.0625,11.3125
1541872976153795,-0.3125,-26.6875,14
1541872976169843,3.3125,-7.75,12.9375
1541872976191833,-5.375,-0.625,13.375
1541872976204838,1.3125,7.625,9.4375
1541872976251912,5.125,8.8125,6.6875
1541872976253875,2.1875,4.5625,6.9375
1541872976492054,1.375,2.375,6.5
1541872976515084,0.25,4.25,3.9375
1541872976545107,6.75,19.1875,12.1875
1541872976589189,7.125,22.0625,9.875
1541872976595154,-3.5,23.8125,1.9375
1541872976621181,-8.375,25.1875,-5.5625
1541872976664196,-13.125,23,-8.125
1541872976672222,-19.5,18,-8.0625
1541872976694267,-18.625,13,-6.875
1541872976716238,-18.5,9.5,-8.4375
1541872976725266,-16.8125,5.0625,-8.3125
1541872976745281,-13.875,2.25,-9.375
1541872976769286,-9.625,-1.1875,-8.75
1541872976791319,-4.9375,-5.25,-7.5625
1541872976822337,-2.1875,-7.875,-7.4375
1541872976824347,-2.5,-9.4375,-8.0625
1541872976845365,-1.0625,-10.3125,-10.375
1541872976864381,-3.125,-11.125,-12.75
1541872976897442,-5.9375,-10.6875,-12.4375
1541872976898394,-7.75,-11.625,-10.375
1541872976919414,-5.6875,-12.5,-7.9375
1541872976935439,-3.5625,-13.6875,-6.0625
1541872976946447,-1.375,-15.625,-4.4375
1541872976969466,1,-16.625,-3
1541872976991485,2.8125,-16.5625,-1.9375
1541872977009490,4,-15.3125,-2.0625
1541872977039507,4.25,-13.4375,-3.125
1541872977060543,4.9375,-12.1875,-2.875
1541872977066547,3.875,-11.3125,-2.625
1541872977089566,3.6875,-10.625,-3
